;sentence;export
86;Kontaktdermatitis;['Kontaktdermatitis']
87;Lichen ruber (Knötchenflechte);['Lichen', 'Knötchenflechte']
88;Psoriasis (Schuppenflechte);['Psoriasis', 'Schuppenflechte']
89;Rosazea;['Rosazea']
90;Seborrhoisches Ekzem;['Ekzem']
91;Andere;[]
92;V.a. Viruserkrankungen der Haut;['Viruserkrankungen', 'Haut']
93;Herpes Iabialis;['Iabialis']
94;Verruca vulgaris |  Hände (Warzen);['Verruca', 'vulgaris', 'Hände', 'Warzen']
95;Verruca vulgaris/plantaris (Füße/Dornwarzen);['Verruca', 'vulgaris', 'Füße', 'Dornwarzen']
96;Andere (z.B. Windpocken |  Gürtelrose);['Windpocken', 'Gürtelrose']
97;V.a. Pilzerkrankungen der Haut;['Pilzerkrankungen', 'Haut']
98;Onychomykose (Nagelpilz);['Onychomykose', 'Nagelpilz']
99;Pityriasis versicolor (Kleienpilzflechte);['Pityriasis', 'versicolor', 'Kleienpilzflechte']
